TestNo, FOO, BAR, OPTLEVEL, Score_1, Score_2, Score_3, Score_Overall
1, 1, 12, -O2, 0.00289988517761, 0.00295901298523, 0.00307106971741, 0.00297665596008
2, 2, 12, -O2, 0.00343704223633, 0.00347685813904, 0.00371098518372, 0.00354162851969
3, 34, 12, -O2, 0.00348114967346, 0.00358915328979, 0.00363802909851, 0.00356944402059
4, 1, 1, -O2, 0.00353813171387, 0.00358510017395, 0.00363206863403, 0.00358510017395
5, 1, 12, -O0, 0.00291419029236, 0.00301718711853, 0.00307297706604, 0.00300145149231
6, 1, 12, -O1, 0.00294804573059, 0.00295209884644, 0.003173828125, 0.00302465756734
7, 1, 12, -O3, 0.00341606140137, 0.00348997116089, 0.00366401672363, 0.00352334976196
8, 1, 12, -Os, 0.00346183776855, 0.00358581542969, 0.00363397598267, 0.0035605430603
