TestNo, FOO, BAR, OPTLEVEL, Score_1, Score_2, Score_3, Score_Overall
1, 1, 1, -O0, 0.0029890537262, 0.00306701660156, 0.00307202339172, 0.00304269790649
2, 2, 1, -O0, 0.00299787521362, 0.00307488441467, 0.00332117080688, 0.00313131014506
3, 34, 1, -O0, 0.00297594070435, 0.00307178497314, 0.00315690040588, 0.00306820869446
4, 1, 12, -O0, 0.00291419029236, 0.00301718711853, 0.00307297706604, 0.00300145149231
5, 1, 12, -O1, 0.00294804573059, 0.00295209884644, 0.003173828125, 0.00302465756734
6, 1, 12, -O2, 0.00289988517761, 0.00295901298523, 0.00307106971741, 0.00297665596008
7, 1, 12, -O3, 0.00341606140137, 0.00348997116089, 0.00366401672363, 0.00352334976196
8, 1, 12, -Os, 0.00346183776855, 0.00358581542969, 0.00363397598267, 0.0035605430603
