TestNo,OPTLEVEL,XLOOP,YLOOP,Score_1,Score_2,Score_3,Score_Overall
1,-O0,5000,12000,0.266932010651,0.267271995544,0.271310806274,0.267271995544
2,-O0,10000,12000,0.532402038574,0.532776117325,0.533079147339,0.532776117325
3,-O0,20000,12000,1.06172394753,1.06207895279,1.07352185249,1.06207895279
4,-O0,20000,18000,1.58957695961,1.58980298042,1.5902569294,1.58980298042
5,-funroll-loops,5000,12000,0.26687502861,0.267539024353,0.268051862717,0.267539024353
6,-funroll-loops,10000,12000,0.53103685379,0.531336069107,0.534675121307,0.531336069107
7,-funroll-loops,20000,12000,1.05975294113,1.05993795395,1.06027603149,1.05993795395
8,-funroll-loops,20000,18000,1.58744287491,1.59015583992,1.59046506882,1.59015583992
