TestNo, BLOCK_Y, BLOCK_X, Score_1, Score_2, Score_3, Score_Overall
1, 2, 32, 2.711632967, 2.75778198242, 2.7731628418, 2.711632967
2, 2, 64, 2.44774103165, 2.45376396179, 2.45393013954, 2.44774103165
3, 2, 128, 1.97714304924, 1.97727489471, 1.97730898857, 1.97714304924
4, 4, 32, 2.35534310341, 2.36663985252, 2.36813306808, 2.35534310341
5, 4, 64, 1.94142699242, 1.99135899544, 1.99264121056, 1.94142699242
6, 4, 128, 2.84159588814, 2.84343218803, 2.84636092186, 2.84159588814
7, 6, 32, 2.01377296448, 2.0165169239, 2.0185790062, 2.01377296448
8, 6, 64, 2.31950497627, 2.3201789856, 2.34301614761, 2.31950497627
9, 6, 128, 2.32861399651, 2.33178901672, 2.36036109924, 2.32861399651
